image_path,label_path,split
images/0.tif,images/window_0.tif,train
images/1.tif,images/window_1.tif,train
images/2.tif,images/window_2.tif,train
images/3.tif,images/window_3.tif,train
images/4.tif,images/window_4.tif,train
images/5.tif,images/window_5.tif,train
images/6.tif,images/window_6.tif,train
images/7.tif,images/window_7.tif,train
images/8.tif,images/window_8.tif,train
images/9.tif,images/window_9.tif,train
images/10.tif,images/window_10.tif,train
images/11.tif,images/window_11.tif,train
images/12.tif,images/window_12.tif,train
images/13.tif,images/window_13.tif,train
images/14.tif,images/window_14.tif,train
images/15.tif,images/window_15.tif,train
images/16.tif,images/window_16.tif,train
images/17.tif,images/window_17.tif,train
images/18.tif,images/window_18.tif,train
images/19.tif,images/window_19.tif,train
images/20.tif,images/window_20.tif,train
images/21.tif,images/window_21.tif,train
images/22.tif,images/window_22.tif,train
images/23.tif,images/window_23.tif,train
images/24.tif,images/window_24.tif,train
images/25.tif,images/window_25.tif,train
images/26.tif,images/window_26.tif,train
images/27.tif,images/window_27.tif,train
images/28.tif,images/window_28.tif,train
images/29.tif,images/window_29.tif,train
images/30.tif,images/window_30.tif,train
images/31.tif,images/window_31.tif,train
images/32.tif,images/window_32.tif,train
images/33.tif,images/window_33.tif,train
images/34.tif,images/window_34.tif,train
images/35.tif,images/window_35.tif,train
images/36.tif,images/window_36.tif,train
images/37.tif,images/window_37.tif,train
images/38.tif,images/window_38.tif,train
images/39.tif,images/window_39.tif,train
images/40.tif,images/window_40.tif,train
images/41.tif,images/window_41.tif,train
images/42.tif,images/window_42.tif,train
images/43.tif,images/window_43.tif,train
images/44.tif,images/window_44.tif,train
images/45.tif,images/window_45.tif,train
images/46.tif,images/window_46.tif,train
images/47.tif,images/window_47.tif,train
images/48.tif,images/window_48.tif,train
images/49.tif,images/window_49.tif,train
images/50.tif,images/window_50.tif,train
images/51.tif,images/window_51.tif,train
images/52.tif,images/window_52.tif,train
images/53.tif,images/window_53.tif,train
images/54.tif,images/window_54.tif,train
images/55.tif,images/window_55.tif,train
images/56.tif,images/window_56.tif,train
images/57.tif,images/window_57.tif,train
images/58.tif,images/window_58.tif,train
images/59.tif,images/window_59.tif,train
images/60.tif,images/window_60.tif,train
images/61.tif,images/window_61.tif,train
images/62.tif,images/window_62.tif,train
images/63.tif,images/window_63.tif,train
images/64.tif,images/window_64.tif,train
images/65.tif,images/window_65.tif,train
images/66.tif,images/window_66.tif,train
images/67.tif,images/window_67.tif,train
images/68.tif,images/window_68.tif,train
images/69.tif,images/window_69.tif,train
images/70.tif,images/window_70.tif,train
images/71.tif,images/window_71.tif,train
images/72.tif,images/window_72.tif,train
images/73.tif,images/window_73.tif,train
images/74.tif,images/window_74.tif,train
images/75.tif,images/window_75.tif,train
images/76.tif,images/window_76.tif,train
images/77.tif,images/window_77.tif,train
images/78.tif,images/window_78.tif,train
images/79.tif,images/window_79.tif,train
images/80.tif,images/window_80.tif,train
images/81.tif,images/window_81.tif,train
images/82.tif,images/window_82.tif,train
images/83.tif,images/window_83.tif,train
images/84.tif,images/window_84.tif,train
images/85.tif,images/window_85.tif,train
images/86.tif,images/window_86.tif,train
images/87.tif,images/window_87.tif,train
images/88.tif,images/window_88.tif,train
images/89.tif,images/window_89.tif,train
images/90.tif,images/window_90.tif,train
images/91.tif,images/window_91.tif,train
images/92.tif,images/window_92.tif,train
images/93.tif,images/window_93.tif,train
images/94.tif,images/window_94.tif,train
images/95.tif,images/window_95.tif,train
images/96.tif,images/window_96.tif,train
images/97.tif,images/window_97.tif,train
images/98.tif,images/window_98.tif,train
images/99.tif,images/window_99.tif,train
images/100.tif,images/window_100.tif,train
images/101.tif,images/window_101.tif,train
images/102.tif,images/window_102.tif,train
images/103.tif,images/window_103.tif,train
images/104.tif,images/window_104.tif,train
images/105.tif,images/window_105.tif,train
images/106.tif,images/window_106.tif,train
images/107.tif,images/window_107.tif,train
images/108.tif,images/window_108.tif,train
images/109.tif,images/window_109.tif,train
images/110.tif,images/window_110.tif,train
images/111.tif,images/window_111.tif,train
images/112.tif,images/window_112.tif,train
images/113.tif,images/window_113.tif,train
images/114.tif,images/window_114.tif,train
images/115.tif,images/window_115.tif,train
images/116.tif,images/window_116.tif,train
images/117.tif,images/window_117.tif,train
images/118.tif,images/window_118.tif,train
images/119.tif,images/window_119.tif,train
images/120.tif,images/window_120.tif,train
images/121.tif,images/window_121.tif,train
images/122.tif,images/window_122.tif,train
images/123.tif,images/window_123.tif,train
images/124.tif,images/window_124.tif,train
images/125.tif,images/window_125.tif,train
images/126.tif,images/window_126.tif,train
images/127.tif,images/window_127.tif,train
images/128.tif,images/window_128.tif,train
images/129.tif,images/window_129.tif,train
images/130.tif,images/window_130.tif,train
images/131.tif,images/window_131.tif,train
images/132.tif,images/window_132.tif,train
images/133.tif,images/window_133.tif,train
images/134.tif,images/window_134.tif,train
images/135.tif,images/window_135.tif,train
images/136.tif,images/window_136.tif,train
images/137.tif,images/window_137.tif,train
images/138.tif,images/window_138.tif,train
images/139.tif,images/window_139.tif,train
images/140.tif,images/window_140.tif,train
images/141.tif,images/window_141.tif,train
images/142.tif,images/window_142.tif,train
images/143.tif,images/window_143.tif,train
images/144.tif,images/window_144.tif,train
images/145.tif,images/window_145.tif,train
images/146.tif,images/window_146.tif,train
images/147.tif,images/window_147.tif,train
images/148.tif,images/window_148.tif,train
images/149.tif,images/window_149.tif,train
images/150.tif,images/window_150.tif,train
images/151.tif,images/window_151.tif,train
images/152.tif,images/window_152.tif,train
images/153.tif,images/window_153.tif,train
images/154.tif,images/window_154.tif,train
images/155.tif,images/window_155.tif,train
images/156.tif,images/window_156.tif,train
images/157.tif,images/window_157.tif,train
images/158.tif,images/window_158.tif,train
images/159.tif,images/window_159.tif,train
images/160.tif,images/window_160.tif,train
images/161.tif,images/window_161.tif,train
images/162.tif,images/window_162.tif,train
images/163.tif,images/window_163.tif,train
images/164.tif,images/window_164.tif,train
images/165.tif,images/window_165.tif,train
images/166.tif,images/window_166.tif,train
images/167.tif,images/window_167.tif,train
images/168.tif,images/window_168.tif,train
images/169.tif,images/window_169.tif,train
images/170.tif,images/window_170.tif,train
images/171.tif,images/window_171.tif,train
images/172.tif,images/window_172.tif,train
images/173.tif,images/window_173.tif,train
images/174.tif,images/window_174.tif,train
images/175.tif,images/window_175.tif,train
